The number of unique labels is 7178
loaded training images
number of training images is 1000
read labels..
003f37f6d68687c3 77869 1
003f44a61d4f55ff 77919 2
004369ad543ebb8f 80562 3
004829b39a65de73 83696 4
004a344c48d93110 84955 5
0059b7e3a885a72b 94701 6
005fb404d4aa6d49 98287 7
0061eb363788ca45 99482 8
0072962ca0fc0981 108762 9
007e7e7206a9b64f 114829 10
007f3f0b36751fbe 115250 11
00938fc5a0223cf4 125515 12
0096a76aa3d82850 127003 13
00a04117c2d19ac1 131401 14
00a73806d4427b3e 134881 15
00f075fd1cb5d43a 164078 16
00f492029f627471 165590 17
011559813472062c 176547 18
012b6fa91319f5bb 183580 19
013b15f7eb27fcd5 188130 20
01414cf24b08a1f6 190008 21
0143c8bd3ae6cb6e 190694 22
0146a4850685c726 191464 23
0147cfb8ed152f4e 191818 24
015da9c24d3d364e 198408 25
0174c84fefcf42b1 204939 26
01870d03d653ce87 210027 27
019a88027a086219 215819 28
01a65bcf2be3afd6 218722 29
01cc2dd0293f5cfe 228220 30
01ce88dd9203fc18 228931 31
02395f608b49b734 255343 32
023d9df62a415906 256403 33
0255a25b11c48422 262082 34
0273795debc01bf7 269041 35
027bfeccf7d9b074 271138 36
0286cc69e4b83940 273426 37
0290bf0af5e7a0d4 275784 38
02974d9400f44d2f 277264 39
029ffc975ad5e7dd 279424 40
02dc87c4ffccca7e 292729 41
02e1fce9bc11a6c4 293913 42
030a07054232c9c6 302267 43
0315a8553b06f76d 304736 44
031c7a995362acf6 306245 45
031fa6e7487c6930 306889 46
034706afd022df09 314810 47
036e18669bee4c07 322653 48
03708e6a8f380e46 323111 49
0392bf98351d285d 329633 50
039a3b84081739ee 331080 51
039de2587d2b4709 331837 52
03af6f6405b742d6 335368 53
03c9e675829eba66 340798 54
03ed10026ee5ee9a 347835 55
0449f62156e6a6d9 365703 56
045d876ee0128ea2 369377 57
04650a1f4c9b8fa2 370719 58
047cc6007eab3f7c 375058 59
04924c5af92a175f 379248 60
04d9ccc29ef68000 392708 61
054e09038008a962 413684 62
055cf4c6c500dfd4 416105 63
05a557e127433870 428324 64
05c3c5436ab76919 433550 65
05d96c38b2bcb567 437061 66
0612be26dc019b40 446552 67
0619cd75451c859e 447635 68
062b62cfbaa00c7e 450612 69
06878e187fa482ca 466464 70
06ea02706afada4d 482845 71
06fc585f158de0f6 485799 72
0737f8376e9ea9c2 495592 73
0743aa6a1f913e90 497463 74
076cb98a9f1e6acf 504069 75
07774908b35f9945 505706 76
0779d287d84db183 506259 77
07abfe838f525c1a 515012 78
07ae91bfb33bd561 515453 79
07c78859d2eaa070 519671 80
07dd992f9952f75b 523137 81
07f75534ead37ca7 527414 82
07f8b6b2aa89d3fd 527642 83
0801ee5b0d22ecfe 529115 84
083206ec5de337bd 536948 85
084af1728c858239 540800 86
087a87df0a34f76c 548594 87
08868fd5110efec5 550515 88
0887f002304a3e48 550735 89
08a5d7f74f98d4c9 555513 90
08a68ef42b792d11 555620 91
08b63ae73de0adde 558073 92
08c89caa21c8d8bc 561039 93
094abfeff097197a 581847 94
0981aa66444dc0ab 590545 95
098769ed823e98cf 591420 96
09944434b0b1797c 593358 97
09b182dbd97b604c 597811 98
09ce679dc7006747 601921 99
09de93fe81a30887 604520 100
09df96d7519efc1a 604665 101
09f45af54c2b60ba 607911 102
09fed121c6a6d18a 609502 103
0a237ea5294fc855 615194 104
0a337bf7d12d56e3 617465 105
0a36adfb373ee6a2 617993 106
0a4beadd80f56557 621193 107
0a921aa51d7fdd14 632330 108
0ac72222c6d40877 640309 109
0acb6ef2902aab8d 641044 110
0ace772ac6a560e8 641490 111
0b07874ad85b5977 650578 112
0b4a78d8d865d5e7 660755 113
0b5af79c865b2efe 663267 114
0bdf30e9b2033dda 683431 115
0c08d84f368544b3 689860 116
0c31b73d78c01b62 696185 117
0c3718366b870f2f 696908 118
0c3f71e901702bc4 698203 119
0c4da71df4265f84 700433 120
0c657747827cfcb2 703946 121
0c9ff39d724e4f0a 712472 122
0cb22f58d99b8873 715466 123
0d399825395e3e10 736239 124
0d5c994851605032 741557 125
0d77ea46869bb339 745407 126
0d7ade6a3fc96f1e 745844 127
0dd2250e8bf974ef 759134 128
0df3edb90842edec 764574 129
0e1f8189b76e76f1 771118 130
0e22b73365733406 771637 131
0e4199e6b02e3a98 776054 132
0e5b95b5af3a9cbf 780063 133
0e5f8ee72f0f0802 780641 134
0e9841f8d8fc8465 788957 135
0e9d881a4998c1f3 789661 136
0ea165dde7f50876 790256 137
0ed0530ec2e09e84 797444 138
0edf8f30e2d3b042 799747 139
0eeb2effaf069d0c 801621 140
0f0710da4260292d 805757 141
0f122d12e8eb868c 807666 142
0f13ef9b438f46be 808061 143
0f14c0469f921310 808215 144
0f1ce01da8245156 809522 145
0f5527d48623131d 817882 146
0fa62b73f32a6866 829788 147
0fbc8e24d554fa0d 833354 148
0fd374418d66d846 836794 149
101ab62a7c44929c 847669 150
1030b92a1e0ac4a6 851007 151
107b456dad4a19ad 862260 152
10b2d7426913c6ba 870516 153
10c6ed48c8f7c039 873259 154
10e736ac1620e8f8 877647 155
10f2e66b8439a9da 879342 156
1122cc4d35422190 886262 157
11573bed97662795 894112 158
1159e88305e46b58 894531 159
115e20369c9b01d4 895143 160
116406fecb92aff6 896116 161
1183eb56d031a976 900804 162
1196a73132a44fb2 903558 163
11c757122d46740e 910375 164
11db4b93708af227 913492 165
12040dcef878da35 919289 166
1221116472f6e1ea 923744 167
12ec406a6d5a9311 954573 168
130deea4e9d4f918 959387 169
134f3b2e90aef4c3 969077 170
137ccfc84bac6da3 975817 171
1392d5a7fa970027 979004 172
13c9323a4000d918 986913 173
1446039a7aed2bb7 1005683 174
1499c8b5ae330834 1017810 175
149dfd5c56588032 1018462 176
14aeef9996f65e87 1020847 177
14b8e47bf91b7707 1022161 178
150432f3cffce041 1032771 179
15498a83223c8dc4 1042113 180
1563a9e2eb299be9 1045978 181
