label_code,label_counts,description
/m/01g317,325,Person
/m/05s2s,122,Plant
/m/07j7r,109,Tree
/m/01c8br,63,Street
/m/083vt,57,Wood
/m/0199g,52,Bicycle
/m/02csf,48,Drawing
/m/05wrt,47,Property
/m/0jjw,45,Art
/m/0jyfg,42,Glasses
/m/07bsy,41,Transport
/m/0180xr,38,Neighbourhood
/m/06ts_6,33,Shopkeeper
/m/07yv9,33,Vehicle
/m/04szw,32,Musical instrument
/m/09rgp,30,Road bicycle
/m/05zdp,28,Public transport
/m/04scj,27,Meat
/m/07vwy6,27,Street art
/m/0k5j,25,Aircraft
/m/0263lr1,25,Crop
/m/03jm5,24,House
/m/03p2h9,22,Hybrid bicycle
/m/01nblt,21,Apartment
/m/0vlys,16,Tower block
/m/01yrx,16,Cat
/m/05qdh,15,Painting
/m/0brn2d,15,Field
/m/08t9c_,14,Grass
/m/0342h,14,Guitar
/m/026wh99,13,Attalea speciosa
/m/09p3jz,13,Curb
/m/0dx1j,12,Town
/m/018w8,12,Basketball
/m/034wh,11,Graffiti
/m/0_mjp,11,Mountain bike
/m/0pgl9,10,Tourist attraction
/m/02n7rn,10,Paddy field
/m/0gl2ny2,10,Football player
/m/09jwl,9,Musician
/m/01vxzc,9,Cash crop
/m/05v1q7,9,Red meat
/m/03ljvf,9,Grove
/m/01d74z,9,Night
/m/05hg54,8,Commercial building
/m/0l7_8,8,Floor
/m/0frq6,8,Pork
/m/017ftj,8,Sunglasses
/m/09cjl,8,Airport
/m/0335j,7,Freeway
/m/02sgy,7,Electric guitar
/m/0dnhy,7,Sidewalk
/m/035y33,7,Official
/m/06z37_,7,Picture frame
/m/03fp41,7,Houseplant
/m/07glzq,7,Sketch
/m/0k4j,6,Car
/m/01xxtm,6,Frozen food
/m/02vx4,6,Soccer
/m/0jbk,6,Animal
/m/03nfmq,6,Architecture
/m/012c9l,6,Domestic short-haired cat
/m/01lwf0,6,Alley
/m/018xm,6,Ball
/m/09qqq,6,Wall
/m/01hcps,5,Lamb and mutton
/m/01bjv,5,Bus
/m/0crtnw,5,Executive car
/m/05sxvp,5,Sports sedan
/m/0166ls,5,Park
/m/0g8p9,5,Farm
/m/06gfj,5,Road
/m/018vs,5,Bass guitar
/m/026y56,5,Brutalist architecture
/m/0c9ph5,5,Flower
/m/02mgm6,5,Shoulder
/m/0369ss,5,City car
/m/042v_gx,4,Acoustic guitar
/m/03bm6,4,Gardener
/m/0kpbc,4,Aerospace manufacturer
/m/015z8s,4,Airbus a320 family
/m/017r8p,4,Pedestrian
/m/04_sv,4,Motorcycle
/m/033rq4,4,Street light
/m/01jpn4,4,Grocery store
/m/0hhdb,4,Shopping
/m/0djtd,4,Coconut
/m/0fm3zh,4,Flowerpot
/m/03txxp,4,Subcompact car
/m/01l7t2,4,Downtown
/m/01gd91,4,Pasture
/m/02rcwpb,4,Malayan cat
/m/07s6nbt,4,Text
/m/02fbcn,4,Bartender
/m/013_1c,4,Statue
/m/0971v,4,Beef
/m/05zdsq,4,Desert Palm
/m/025s8bs,4,Shopping mall
/m/0crjs,3,Convenience store
/m/045jsc,3,Minibus
/m/0g6b5,3,Fireworks
/m/02w11w8,3,Tour bus service
/m/03q5fj,3,Teacup
/m/0j_s4,3,Metropolitan area
/m/09b5t,3,Chicken
/m/02crq1,3,Couch
/m/0cxn2,3,Ice cream
